,link,part,other,potential_covid_high_confidence,potential_covid_low_confidence,had_covid_high_confidence,had_covid_low_confidence
0,https://twitter.com/Sectum0sempra/status/1339821334193446912,test,0,0,1,0,0
1,https://twitter.com/KotobazaOne/status/1296888469088854016,test,1,0,0,0,0
2,https://twitter.com/dli59/status/1319539917836386304,test,1,0,0,0,0
3,https://twitter.com/FlyerUnderFire/status/1343074271569055744,test,0,1,0,0,0
4,https://twitter.com/doitonemoretim1/status/1300698714663772161,test,0,1,0,0,0
5,https://twitter.com/nikitamrky_real/status/1321771645921624065,test,1,0,0,0,0
6,https://twitter.com/ZhekaMed/status/1335651038339141643,test,1,0,0,0,0
7,https://twitter.com/aswertya/status/1259322556529721344,test,1,0,0,0,0
8,https://twitter.com/fontanka_news/status/1289883171303985154,test,1,0,0,0,0
9,https://twitter.com/irina_bolisova/status/1313366108695658497,test,1,0,0,0,0
10,https://twitter.com/just_abaddream/status/1318856523238592514,test,1,0,0,0,0
11,https://twitter.com/istravest/status/1326155618927964160,test,1,0,0,0,0
12,https://twitter.com/taeckkky/status/1268925010682445824,test,1,0,0,0,0
13,https://twitter.com/Orelinform/status/1355149944542388236,test,1,0,0,0,0
14,https://twitter.com/Jill_Kot/status/1349057599312982018,test,1,0,0,0,0
15,https://twitter.com/TimKarai/status/1310168721370107904,test,1,0,0,0,0
16,https://twitter.com/GiannaNikitina/status/1292391824787726336,test,1,0,0,0,0
17,https://twitter.com/ya_mogu_vot_tak/status/1244142119696109568,test,1,0,0,0,0
18,https://twitter.com/Erdenesuren21L/status/1353651840248930305,test,1,0,0,0,0
19,https://twitter.com/Abama2011/status/1282633427678887937,test,1,0,0,0,0
20,https://twitter.com/taetae_______/status/1244399442263932931,test,1,0,0,0,0
21,https://twitter.com/margaret_1917/status/1334122402943557633,test,1,0,0,0,0
22,https://twitter.com/nazyrovav/status/1275340231538085888,test,1,0,0,0,0
23,https://twitter.com/saydzifr/status/1273315493017989120,test,1,0,0,0,0
24,https://twitter.com/Tumen_Tsengel/status/1273086836559056897,test,1,0,0,0,0
25,https://twitter.com/savomay/status/1252176212044189696,test,1,0,0,0,0
26,https://twitter.com/fistiolis/status/1270781288056852480,test,1,0,0,0,0
27,https://twitter.com/storminka/status/1323975142448529409,test,0,0,1,0,0
28,https://twitter.com/mimi_toshi/status/1357069174695149568,test,1,0,0,0,0
29,https://twitter.com/DavaadorjGombo/status/1274940943188275202,test,1,0,0,0,0
30,https://twitter.com/btd4580000/status/1292079254331699200,test,1,0,0,0,0
31,https://twitter.com/sevar7867/status/1322624337267040257,test,1,0,0,0,0
32,https://twitter.com/Mischa19571247/status/1303288391379963904,test,1,0,0,0,0
33,https://twitter.com/ganbatt2/status/1327463825600245760,test,1,0,0,0,0
34,https://twitter.com/VakaMokko/status/1320191288306769920,test,0,1,0,0,0
35,https://twitter.com/pjargal/status/1275660740939186176,test,1,0,0,0,0
36,https://twitter.com/sadpolly/status/1311138720020606977,test,0,0,1,0,0
37,https://twitter.com/Darmidont222555/status/1262330103662592000,test,1,0,0,0,0
38,https://twitter.com/ArazHajiyev1/status/1313967752206413825,test,1,0,0,0,0
39,https://twitter.com/type_and_run/status/1307050496386101249,test,1,0,0,0,0
40,https://twitter.com/femtoshiloveyou/status/1352627337389625344,test,1,0,0,0,0
41,https://twitter.com/lkhagva395/status/1279649271185170432,test,1,0,0,0,0
42,https://twitter.com/KillerDark35/status/1330212701658812420,test,1,0,0,0,0
43,https://twitter.com/clit_commandent/status/1319753492093935619,test,1,0,0,0,0
44,https://twitter.com/loreleya666/status/1296807502563213312,test,0,0,0,1,0
45,https://twitter.com/CrazyPresent/status/1326893670289862656,test,1,0,0,0,0
46,https://twitter.com/naum02/status/1349283351874691072,test,1,0,0,0,0
47,https://twitter.com/NatalyVitt/status/1238475073251618816,test,1,0,0,0,0
48,https://twitter.com/SVRyTXAgyxu4Z0c/status/1350838053053591553,test,1,0,0,0,0
49,https://twitter.com/nandinbilegAM/status/1332676532901318662,test,1,0,0,0,0
50,https://twitter.com/tab8905/status/1325870030114983936,test,1,0,0,0,0
51,https://twitter.com/LifeInFormalin/status/1341982616485048320,test,1,0,0,0,0
52,https://twitter.com/izhKP/status/1329727455276511232,test,1,0,0,0,0
53,https://twitter.com/iddwexx/status/1300326120433352704,test,1,0,0,0,0
54,https://twitter.com/GnedlerLeonora/status/1322982512004648962,test,1,0,0,0,0
55,https://twitter.com/Expert_Light/status/1269101839796101120,test,1,0,0,0,0
56,https://twitter.com/firsoleg/status/1320933377936076801,test,1,0,0,0,0
57,https://twitter.com/allmerrit/status/1315711038755614721,test,1,0,0,0,0
58,https://twitter.com/vor_twitov/status/1255950911387709440,test,1,0,0,0,0
59,https://twitter.com/Nor19416956/status/1320469421786341383,test,1,0,0,0,0
60,https://twitter.com/Razdolbai2020/status/1270220587990999040,test,0,0,1,0,0
61,https://twitter.com/mlspgovmn/status/1348821016991002625,test,1,0,0,0,0
